0,1,2,3
25,26,हा बे कटे लैंड पैदाइस हलाला ओलाद तुम्हे नही मालूम तेरा अबु तेरी खाला जान चुदाईखाना पता तेरा अबु मौलवी साहब चचा भाई जान पड़ोस वाला अब्दुल फारुख रहिस चचा तेरे अबु जान । साला सुवर तेरी,hate
26,27,गृह मंत्री अमित शाह बोन कैंसर जूझ,fake
27,28,ट्विटर चूतिये मिलेंगे साले हिंदुओं विरोध मिल जाएंगे खुद फेक अब चमन चूतिये देखिए पिस्टल पांडेय नाम रखे हिंदुओं विरोध लगे । भाड़े टट्टू होगा विरोध पा होगा बस तभी ।,hate
28,29,राहुल गांधी अगले साल क्या करूंगा गांधी बेटा रिचार्ज बैठकर छोटा भीम देख,defamation
29,30,रिकॉर्ड चोर चोरी ढेर सारे सोने सिक्के बरामद किए गए 1,non-hostile
30,31,टीवी आने इतनी तैयारी गरीब आदमी,fake
31,32,अब असंभव लग ऐसा बंदा रिटायर चुका अब क्रिकेट खेलेगा वो वापस आएगा शायद ऑक्शन दोबारा जाएं दूसरी टीम खरीद ले,non-hostile
32,33,नई राष्ट्रीय शिक्षा नीति तीन भाषा नीति तमिलनाडु सरकार खारिज भाषा होगा अमल,non-hostile
33,34,भारत असंगठित अर्थव्यवस्था दूसरा बड़ा हमला जीएसटी राहुल गांधी,non-hostile
34,35,योगी आदित्यनाथ अथक परिश्रम प्रतिफल उत्तर प्रदेश विडम्बनाएं पीछे छोड़ सर्वांगीण विकास रास्ते चल पड़ा । जय ।,hate
35,36,मोदी मोर फोटो राहुल गाँधी करारा जवाब,defamation
36,37,शांतिप्रिय मोहम्मद पैगंबर आपत्तिजनक टिप्पणी बैंगलोर हमारे,hate
37,38,जेईई पहली पाली परीक्षा खत्म बाहर निकले स्टूडेंट्स कोरोना लेकर डर खुशी बात हमारा साल बचा 1,non-hostile
38,39,दुनिया भर विकसित देश बेहाल गए । दौरान प्रदेश डटकर मुश्किल वक्त सामना सराहनीय । योगी पिता स्वर्गवास प्रदेश जनता प्रतिबद्घता दिखाते लगातार जनता सेवा लगे,offensive
39,40,प्रदेश अध्यक्ष अध्यक्षता भोपाल जोन पदाधिकारियों बैठक आयोजित जिसमें सितंबर शुरू ऑक्सीजन जांच अभियान संबंध प्रशिक्षण ऑक्सीमीटर वितरित किये गये ।,non-hostile
40,41,बेगुन भारत अमरीका सामरिक साझेदारी मंच वर्चुअल आयोजित तीसरे भारत अमरीका शिखर बात कही ।,non-hostile
41,42,क्या इंसानियत मर चुकी zxx,non-hostile
42,43,बधाई मोदी जीआपकी मन बात पूरे हज़ार डिसलाइक मिल चुके,non-hostile
43,44,केजरीवाल संघ शाखा पैदाइश संघ शाखा आतंक फैलती झूठ फैलाती इसने बचपन शिक्षा दीक्षा ली इसने प्लाज्मा डोनेट करके कोरोना परसेंट ठीक भ्रष्टाचार जरिए अधिकारी बना ज्ञान पास,defamation
44,45,ग्राम गांजा जांच सीबीआई उसकी रिपोर्ट पूरी मीडिया डेढ़ सौ ग्राम गांजा बिहार मुख्यमंत्री नीतीश कुमार बंगला छापा मारने मिल जाएगी कहां ग्राम पीछे पड़े,defamation
45,46,क्या बात बोल दी शर्मा ।,non-hostile
46,47,सुशांत सिंह राजपूत संदिग्ध मौत राज खोलने दिल्ली गई स्पेशल टीम सुशांत क्राइम सीन रिक्रिएशन करेगी,non-hostile
48,49,तस्वीर बाबरी हॉस्पिटल ब्लू प्रिंट दिखाती,fake
49,50,आम्रपाली परियोजनाओं सूची ऑनलाइन निवेशक खरीदार नाम ढूंढें v,non-hostile
50,51,अमेरिका रास्ता दिखाने दिल्ली मॉडल प्लाज़्मा थेरेपी दिल्ली सैंकड़ों लोगों जान बचाई । इंसानियत भाईचारे संदेश देती परमजीत कहानी आपको ज़रूर प्रेरित करेगी ।,non-hostile
51,52,हाल हिन्दू महिला कश्मीरी मुस्लिम लड़की सहरी खिलाने आरएसएस गुंडों पीटा भारत आरएसएस कब्जे मीडिया लॉ एनफोर्समेंट जुडिशरी राष्ट्रिय सुरक्षा नियंत्रण क्या देश स्थिर रहेगा ऐसा चलता,fake
52,53,देश एकता अखंडता सम्प्रभुता रक्षा निरस्त अनुच्छेद उप राष्ट्रपति विवरण,non-hostile
54,55,इंजीनियरिंग पढ़ाई एक्टिंग दुनिया आए किच्चा सुदीप जानिए रोचक बातें,non-hostile
56,57,बैंक्वेट हॉल हमने बेड कोरोना सेंटर शुरू । हर बेड ऑक्सिजन । अब पूरी दिल्ली बैंक्वेट हॉल करोना सेंटर बनाए जाएँगे ।,non-hostile
57,58,हिंदुस्तान जज भ्रष्ट जस्टिस काटजू हिंदुस्तान पूरी व्यवस्था भ्रष्ट नष्ट चुकी क्रांति जरूरत जस्टिस काटजू न्यायालय न्याय उम्मीद मूर्ख लोग जस्टिस काटजू भारत संतरी लेकर मंत्री भ्रष्ट जस्टिस काटजू देश क्रांति जरूरत,defamation
58,59,साला टिकट ब्लैकिया इतनी हिम्मत लाता कहाँ,offensive
59,60,कंगना सपोर्ट वाली मीडिया उम्मीद झुग्गियों तोड़ने आएगी उसका विरोध करेगी,offensive
60,61,कर्नाटक मंच गुरु विरोध साहब भड़क उठे ऐसी बे इज्जती आपने कभी नही देखी होगी दलाल मीडिया चाटूकार पत्रकारो बार नही चलायाकरो ज़रा फेमस गुरू,offensive
61,62,बिहार चुनावी मुद्दा बना सुशांत सिंह राजपूत मौत नारा भूले भूलने देंगे रिपोर्ट,non-hostile
62,63,बेंगलुरु कोरोना ठीक चुकी मरीज़ दोबारा संक्रमण संदेह,non-hostile
64,65,तस्वीर आलीशान सोहफे विश्वस्तरीय इंटीरियर डिजाइन ड्राइंग रूम देश प्रधानमंत्री खरीदा बोइंग वीवीआइपी एयरक्राफ्ट सज धज शानो शौकत अंदाजा लगा जनता सेवक चौकीदार कहने वाला विलासिता पूर्ण जीवन जीने आदी चुका । विश्वस्तरीय सुविधाओं लैस एयरक्राफ्ट अगस्त सितंबर माह भारत आ जाएगा बस मोदी विदेश दौरे चालू । ऐसी तमाम आधुनिक सुविधा व्यवस्थाओं लैस बोइंग वीवीआइपी एयरक्राफ्ट खरीदे जिनकी कीमत लगभग करोड़ रूपया भारतीयों जिओ फकीरी चौकीदार जियेगा शानोशौकत सत्य प्रधानमंत्री बनने घड़ियाल आंसू बहाया मोदी साहब राष्ट्र झूठे सपनों भर्मित करवाया साहब अब देखो हकीकत क्या गुमराह लाख सूट पहन खुद फकीर बताता जापान खाना पीना उपयोग खुद भिखारी बताता जागो भारत जागो । ।,fake
65,66,प्राइवेट बीच मजे ले खिलाड़ी,non-hostile
66,67,छात्रा वीं क्लास पढ़ती प्रैक्टिकल परीक्षा देने स्कूल गई परीक्षा देकर स्कूल लौट तभी स्कूल बाहर घात लगाए बैठे मुसलमान युवक जिसकी उम्र लगभग साल बताई तेजी तलवार लेकर आया छात्रा गर्दन वार । मुस्लिम युवक तलवार वार हिंदू लडकी पूजा पुत्री शंकर लाल कोतमा अनूपगढ मध्य प्रदेश हत्या इसलिये दी उसने तथाकथित लव जेहादी प्यार नकार हिंदू देश कितने लाचार । ऒर कितने सुरक्षित जेहादियो । खून खोलता मेरा मै,fake
67,68,कंगना राणावत मुम्बई तुलना क्या अब खिलाफ देशद्रोही मुकदमा दर्ज होगा क्या कंगना जेल जायेंगी जाति धर्म हिसाब बख्श जायेगा,defamation
68,69,क्या चालू वित्त वर्ष पहली तिमाही जीडीपी खराब आंकड़ों कोरोना आपदा जिम्मेदार है1,non-hostile
70,71,दुकान दूरी किमी पैदल जाना होगा ।,fake
71,72,भारत सरकार खेतों यूरिया उपयोग प्रतिबंध लगाने । खेती अब यूरिया उपयोग बंद करेगी सरकार,fake
72,73,चीख ले महेश भट्ट तेरे कुकर्मो सज़ा तेरी बेटी मिलनी हैतू चीखेगा सुशांत चाहने वालों उतना सुकून मिलेगा ट्रेलर हाल सोच फ़िल्म रिलीज क्या होगा वालों,fake
73,74,उद्धव ठाकरे सेना घुसकर धमाकाआतँकवादी संगठनों बंकर तबाह किए संघी आतंकवादियों समेत पूरे लश्कर ए,hate
74,75,वक्त बड़ी ख़बरें,non-hostile
75,76,हमारे पुर्खो साल राज पंचेर बना चला,defamation
76,77,कांग्रेसी चमचे राहुल गांधी हर मुद्दे मोदी हार क्यों जाते पित्रोदा,hate
77,78,कोरोना बढ़ते मामले दूसरी त्यौहार सुरक्षा लेकर क्या आपकी सोच,non-hostile
79,80,भक्ति श्रद्धा ज्ञान ईवेन्ट मैनेजमेन्ट बखान चप्पल जूते पहन जाता मंदिरों,defamation
80,81,पब्जी गेम जल्द सरकार करवाई बच्चे जिंदगी खिलवाड़ पब्जी बैन करो आने वाली पीढ़ी जिंदा रहने,hate
82,83,कश्मीर वीडियो तस्वीर लग थोड़ा कष्ट करके लदाख पहुंच जाइए जानकारी पूरी मिल जाएगी आंखों देखी हाल पता चल जाएगी गद्दारों असली तस्वीर देखने मिल जाएगी,hate
83,84,हर जान कीमती ।,non-hostile
84,85,दिल्ली मुख्यमंत्री दीवानगी ऐसी भारत पाकिस्तान विश्व कप मैच लगे नारे जीतेगा भाई जीतेगा केजरीवाल जीतेगा yz,fake
85,86,आईटी मंत्री रविशंकर प्रसाद मार्क जकरबर्ग पत्र लिखा फेसबुक कर्मचारी मोदी अपशब्द,non-hostile
86,87,कोराना दौर प्लेसमेंट ऑफ़र वापस ले कंपनियाँ छात्र परेशान,non-hostile
87,88,पिछले वर्षों सिद्ध कांग्रेस राजनैतिक दल नही छुपा इस्लामिक संगठन,hate
88,89,कँगना दीवार गिराना लोकतंत्र हमला अरे कु ७त्तोगुजरात गरीबो आगेदीवार बना सा लोकतंत्र सुरक्षित । ।,hate
89,90,कफ़ील खान मामले हाई कोर्ट फ़ैसला योगी सरकार अन्यायी चेहरे बेनक़ाब ध्यान पढ़ो योगी हाई कोर्ट खान भाषण राष्ट्रीय एकता अखंडता अपील योगी कफ़ील राष्ट्रद्रोही घोषित 1,non-hostile
90,91,बिहार एक्सप्रेस निर्माण रास्ता साफ औरंगाबाद जयनगर बनेगी फोरलेन सड़क1,non-hostile
91,92,देश,non-hostile
92,93,संक्रामक बीमारी सकती इसलिए सावधान सतर्क रहकर हमें बचाव । संक्रमण बचाव तरीकों मजबूती अपनाएं चिकित्सा स्वास्थ्य अमित मोहन प्रसाद,non-hostile
93,94,इलेक्ट्रिक दूकान बोला राहुल दे उसने तुरन्त ट्यूबलाइट दे आजकल प्रचार देर नही,defamation
94,95,तस्वीर छू लिया आनंद महिंद्रा दिल उन्होंने नितिन गडकरी खास गुजारिश v 1,non-hostile
95,96,किसानो बात हूँ सी चीज़ें कही सकती ठहरिये भइआ बोलने दीजिये,fake
96,97,भूलेंगे भाई मोदी कट्टर समर्थक दिनों साला इतना दिमाग घूम बस मोदी नाम नफरत लग गई मां,offensive
97,98,उन्नाव रेप कांड दोषी भाजपा विधायक कुलदीप सिंह सेंगर हाई कोर्ट मिली जमानत । अब सवाल उठता जज जमानत अगर पीड़िता जज बेटी जज जमानत दे देता क्या लानत जजों । जज बल्कि जज भेष छुपा भेड़िया ।,defamation
98,99,कृपया सूचनार्थ आवश्यक कार्यवाही हेतु ।,non-hostile
99,100,धर्म परिवर्तन करके शादी निकाह जुड़े मामले जांच एसआईटी करेगी ।,non-hostile
100,101,उप राष्ट्रपति,non-hostile
101,102,राहुल ईश्वर कमीना कब लगता रवी श्रीवास्तव सुमन्त रामन असर आ हैv 🥄🌶️🖕 yv ,offensive
102,103,सिवनी फसल खराब केजरीवाल सरकार तर्ज हजार रुपये हेक्टेयर मुआवजा देने मांग ।,non-hostile
103,104,अब यूपी बिहार लोगों दिल्ली भगा देना चाहिए रमेश बिधूड़ीभाजपा सांसद रमेश बिधुरी अब यूपी बिहार लोगों दिल्ली भगा देना चाहिए,fake
104,105,वीडियो हाल दुर्घटनाग्रस्त इथियोपियन एयरलाइंस । बूम पाया वायरल वीडियो अफ़ग़ानिस्तान दुर्घटनाग्रस्त दुबई कार्गो मालवाहक विमान दिखाता इथियोपियाई यात्री विमान हाल क्रैश । विमान सवार यात्रियों मौत गई । हाल इथियोपियन एयरलाइंस क्रैश वीडियो,fake
105,106,सुशांत न्याय प्रायोजित इंटरव्यू,non-hostile
106,107,भाईजान बेटा नाले पानी फल धोकर स्वच्छ पानी बचत । हिन्दुओं नवरात्र उपवास महान राष्ट्रभक्त पर्यावरणप्रेमी फल खरीदना । जय मातादी,fake
107,108,एंकर आकर कहता विशेष समुदाय यूपीएससी घुसपैठ क्या इससे ज़्यादा घातक बात सकती,offensive
108,109,निजीकरण हूं भारत कर्मचारी काम सैलरी लेते काम रिश्वत लेते,offensive
109,110,मेहुल चौकसी राणा कपूर,non-hostile
110,111,महाभारत युग पांडवों बिहार जगह बनाया सुरंग स्थानीय लोग खेती1,non-hostile
112,113,राज्यसभा सांसद रंजन गोगोई कोरोना संक्रमित समाचार प्राप्त । विश्व विधाता भगवान श्रीराम स्वास्थ्य लाभ प्रार्थना करती हूँ ।,fake
113,114,घंटे दूसरी बार संक्रमण हज़ार पार,non-hostile
114,115,शांतिपूर्ण प्रोटेस्ट सच बोल दिल्ली पुलिस करा धरा ।,fake
115,116,परीक्षाओं दौरान स्टूडेंट्स सुविधा मुंबई अतिरिक्त लोकल ट्रेनें चलेंगीं vyx,non-hostile
116,117,पीएम मोदी तस्वीर शेयर प्रणब मुखर्जी दी श्रद्धांजलि खबर,non-hostile
117,118,देश विभिन्न राज्यों,non-hostile
118,119,दिल्ली लोधी रोड़ श्मशान राजकीय सम्मान पंचतत्व विलीन पूर्व राष्ट्रपति प्रणब मुखर्जी,non-hostile
119,120,नशे धुत फर्जी राष्ट्रवादी केजरीवाल काम । भविष्य मतदान समय सावधान रहें दिल्ली दिल्ली मुख्यमंत्री अरविंद केजरीवाल फेसबुक लाइव वीडियो रिकॉर्ड दौरान नशे धुत लड़खड़ा बोले दिखाए जाने वाला वीडियो फर्जी ।,fake
122,123,बॉलीवुड एक्ट्रेस कंगना रनौत केंद्रीय गृह मंत्रालय दी कैटेगरी सुरक्षा 1,non-hostile
123,124,जिला मत्स्य विभाग सितंबर बुधवार सुबह साढ़े बजे भट्टू खंड गांव ठुईयां खारे पानी सफेद झींगा मछली पालन दिवसीय सेमिनार आयोजन जाएगा । कार्यक्रम मुख्यातिथि उपायुक्त डॉ नरहरि सिंह बांगड़ होंगे ।,non-hostile
124,125,मन बात रेडियो ऐड्रेस करोड़ कोविड मरीज़ों मुफ़्त इलाज चूका,fake
125,126,बिहार समान काम समान वेतन मांग लेकर प्रदर्शन गेस्ट प्रोफेसरों पुलिस लाठीचार्ज रिपोर्ट,non-hostile
126,127,बांद्रा जामा मस्जिद बाहर इतनी बड़ी संख्या लोगों इकट्ठा चिंता बात किसने बुलाया अगर लोग वापस जाने ट्रेन पकड़ने आए हाथों सामान क्यों,fake
127,128,बिहार विधानसभा चुनाव दिन नजदीक आने रांची रिम्स केली बंगले हलचल बढ़ने लगी,non-hostile
128,129,अनलॉक सावधानी बरतनी,non-hostile
129,130,मुंबई डॉक्टर मनीषा पाटिल कोरोना पेशेंट इलाज मौत गई । खुद बचा सकीं,fake
130,131,परीक्षा शुरू छात्र मास्क ग्लव्स पहनकर सेंटर पहुंचे सोशल डिस्टेंसिंग गोल घेरे बनाए गए बाइक किमी सफर तय 1,non-hostile
131,132,फूफा कजन हत्याः पंजाब पूछा हत्यारे,non-hostile
132,133,कल आये आईटी सेल लोग योगी विरोध उतरे । मैदान किन आपको सोचना ।,defamation
133,134,झूठ खिलाफ बड़ा कदम । खिलाफ लड़ने हमारे व्हाट्सएप चैटबाट जुड़े बताएंगे आपको सच,non-hostile
136,137,वही कमीना कभी थिएटर बाहर पिक्चर टिकट ब्लेक ।,defamation
137,138,अनुच्छेद लड़ाई पाक समर्थन बोले फ़ारूक़ अब्दुल्ला हाथों कठपुतली नहीं1,non-hostile
139,140,संसद मानसून सत्र महामारी देखते बडे तैयारियां,non-hostile
140,141,एप्पल पूरे स्टॉक एक्सचेंज मार्केट कैप इससे कम v 1,non-hostile
141,142,जल्द जी” जगह गेम आऐगा सिर्फ़ अंधभक्त खेल सकेंगे,offensive
142,143,खूबसूरती देश उधर बनारस पंडित मस्जिद निर्माण सोने ईंट दे अब्दुल बम मंदिर उड़ाने साजिश रच,hate
143,144,होंडा दिवाली मौके एक्टिवा स्कूटर मुफ़्त दे ।,fake
144,145,ऐतिहासिक रामलीला कोरोना साया टूट जाएगी सौ साल पुरानी परंपरा,non-hostile
145,146,सरकार मस्जिद नमाज पांच लोगों ज्यादा जाने प्रतबंध लगाती लोग जान देने तैयार ।,fake
147,148,निर्णय भारतीय रक्षा उद्योग खुद के डिजाइन विकास क्षमताओं उपयोग करके डीआरडीओ विकसित तकनीकों अपनाकर सशस्त्र बलों आवश्यकताओं हथियारों निर्माण बड़ा अवसर प्रदान करेगा ।,non-hostile
148,149,तस्वीर आलीशान सोहफे विश्वस्तरीय इंटीरियर डिजाइन ड्राइंग रूम देश,fake
150,151,पुलिस सामने मॉब लिंचिंग वारदात पुलिस बदमाश अस्पताल ले गई गुस्साए ग्रामीणों सामने बेबस दिखी पुलिस तरया सुजान रामपुर बंगरा डबल मर्डर ।,non-hostile
151,152,मध्यप्रदेश मुख्यमंत्री रूप,non-hostile
152,153,देश सरकारी कंपनी बीएसएनएल नुकसान पहुंचा जिओ एयरटेल लाख करोड़ फैदा पहुंचाई गई साल बीएसएनल पांच लाख करोड़ भारत तिजोरी भारत तिजोरी जनता सुविधा खर्च भ्रष्टाचार भेंट चढ़ गई देश गद्दार पहचाने,hate
153,154,साले ज्ञानी बाबा जेल जाना चाहिए सपोर्ट साला गंजे बज ड्रग लेने बल कमीना,offensive
154,155,दक्षिणी मुंबई क्रोफोर्ड मार्केट तेज रफ़्तार कार जनता कैफ़े घुस गई देर रात ओवर स्पीड कार अनियंत्रित सड़क किनारे बने जनता कैफ़े टकरा गई हादसे अब चार लोगों मारे जाने ख़बर,non-hostile
155,156,सारंग केन्द्रीय सूचना प्रसारण मंत्री प्रकाश जावड़ेकर पत्र लिख फिल्मी सितारों जुड़ी पार्टियों’ खबरों चिंता जाहिर,non-hostile
156,157,सियाचिन ग्लेशियर तैनात भारतीय सैनिक तापमान माइनस डिग्री सेल्सियस,fake
157,158,शायरी हमारे पप्पू नाम नाव लगभग डूब चुकी मुश्किल फ्यूचर जीतना बचा कांग्रेस हाथ पप्पू ताली पीटना1,defamation
158,159,पूर्व राष्ट्रपति प्रणब मुखर्जी जीवन अनकही बातें,non-hostile
159,160,देश किसान क्या चाहता किसान खुद जानते हैतुझ नीच कमिना सता लालच दिल्ली दंगा थप्पड़ खा वो किसान बात करे अच्छा सरकार हर बिल विरोध तलाक राम मंदिर फैसला कोर्ट,hate
160,161,देश कोरोना संक्रमण आंकड़ा लाख पार पहुंचा नए मामलों आंकड़े जानकर हैरान जाएंगे 1,non-hostile
161,162,साही बोल आलिया ठरकी हवसी तेरा बाप बारे दुनिया जानती बाप बड़ा कमीना,hate
162,163,सोशल प्लेटफार्म जरिये बीजेपी सत्ता आयी झूठ बातों प्रचार प्लेटफार्म आजकल साहब मिल वो बल्क । समय फिरता मालिक ।,hate
163,164,जबकि हमीरपुर प्रतिशत सम्भल प्रतिशत हाथरस प्रतिशत बागपत प्रतिशत तथा महोबा प्रतिशत कम पॉजिटिविटी पाई गई चिकित्सा स्वास्थ्य अमित मोहन प्रसाद,non-hostile
164,165,आने वाली नस्लें फख्र करेंगी असरो ध्यान आएगा फिराक देखा । गोरखपुर जन्मे अंग्रेजी उर्दू फ़ारसी प्रकांड विद्वान रघुपति सहाय फिराक गोरखपुरी उर्दू महान शायर । जन्मदिन अवसर विनम्र श्रद्धांजलि अर्पित हूँ ।,non-hostile
165,166,अर्नब गोस्वामी पत्रकारिता जगत उतना फायदा मुख्तार अब्बास नकवी मुसलमानों,hate
166,167,केरल मोइनुद्दीन । उन्होंने जेएनयू प्रवेश लिया । साल दर साल उन्होंने बीए एमए एमफिल फ़ीर पीएचडी दाखिला लिया जेएनयू छोड़ देना चाहिए काम शुरू देना चाहिए ।,fake
168,169,क्या इसलिए,fake
169,170,हिंदुस्तान हिंदुओं धर्मपरिवर्तन हिंदू बेटियों लवजिहाद हिंदू परिवारों पलायन हिंदू देवी देवताओं गालियां हिंदुओं संस्कृति खिलवाड़आखिर ऐसा कब चलेगा,hate
170,171,ठरकी साला चल अब फ़िल्म बना,offensive
171,172,पड़ोसी बेटे अचानक शादी कैसे टूट गयी पिता कमीने अफवाह फैला दीकि वो कांग्रेसी,offensive
172,173,मुंबई लगे,hate
173,174,लोकायुक्त कार्रवाई खनिज अधिकारी प्रदीप खन्ना ठिकानों छापेमारी इंदौर फ्लैट मकान मिला भोपाल लाख रुपए कैश बंगला कार मिलीं 1,non-hostile
174,175,पूर्व राष्ट्रपति प्रणब मुखर्जी । दिनों पूर्व राष्ट्रपति प्रणब मुखर्जी गहन कोमा । वर्षीय मुखर्जी वेंटिलेटर रखा फेफड़े संक्रमण इलाज ।,non-hostile
175,176,गुंडा गर्दी आलम अब राज्यसभा छोड़ा पाप पार्टी लीडर दोगले रखा रे केजु साला कुकुर गांड पेट्रोल डाल देना चाहिए,defamation
176,177,हुक्का पीने जांच अस्थाना भ्रष्टाचार आरोप लगी सीबीआई ऑफिस ताला जरी गई रात ड्रामा मोदी मित्र कारण बच गई,fake
177,178,स्पेशल फ़्रंटियर फ़ोर्स कमांडो नीमा तेंज़िन अंतिम यात्रा लगे भारत माता जय नारे,non-hostile
178,179,शांति जानें दाम v,non-hostile
179,180,मोदीजी देश सेना खडी सयाने विदेश पडे इसलिए बोलते विदेशी मां बेटा कभी देशभक्त,hate
180,181,भारतीय सेना नेपाल एयर स्ट्राइक । नेपाल सेना विमान ध्वस्त ।,fake
181,182,बड़ा कमीना नॉटी भड़वा सूजे मु वाला,offensive
182,183,एलएसी किमी इलाक़े चीन कब्ज़ा प्रेस रिव्यू,non-hostile
183,184,पवन व्यक्ति रोज झूठ बोलता लोगों पता चल झूठ बोलता हैऔर नेक्स्ट दिन बोल बात सच लोगों माना साला झूठ बोल इसीलिए कांग्रेस वर्चस्व खत्म अब लोग इमली पेड़ आराम करो,fake
184,185,मुंबई लगे पाकिस्तान जिंदाबाद नारे मंत्री सामने,hate
185,186,बिहार देखिए स्मार्ट तोता यूज स्मार्टफोन यूट्यूब देखता पसंद वीडियोनिरंजन सिंह रिपोर्ट,non-hostile
186,187,बिहार चुनाव प्रचार करेंगी कंगना रनौत स्कूल कॉलेज रहेंगे बंद,fake
188,189,बिहार सत्ता समीकरण बिहार विधानसभा चुनाव नतीजों लेकर अटकलों बाजार गर्म1,non-hostile
189,190,पश्चिम बंगाल शरिया कानून तहत लोगों अत्याचार ज्यादातर बांग्लादेशी रोहिंग्या मुसलमान बहुल क्षेत्रों हिन्दुओं अत्याचार सुनने वाला । सेक्युलरीझम कीड़े कहाँ कहाँ भारत संविधान ।,fake
190,191,नसीहत अगर नसीरुद्दीन शाह मुनव्वर राना आमिर खान जावेद अख्तर देते हमें ख़ुशी,offensive
191,192,भक्तों नेटपैक रिचार्ज करवाओ गिरती अर्थव्यवस्था फायदे नही गिनाये …,hate
194,195,शातिर अपराधी शराब तस्कर गोलू उर्फ संतोष यादव चन्दन यादव अपराध अर्जित सम्पत्ति मकान अनुमानित कीमत करोड़ लाख रुपये जिला मजिस्ट्रेट जौनपुर आदेश अन्तर्गत धारा गैंगेस्टर एक्ट तहत कुर्क मुनादी कराते जब्त । x,non-hostile
195,196,रिया जेल गयी सी बड़ी बात हैसंजीव भट्ट जेल हैंप्रज्ञा संसद हैनीरव मोदी विदेश हैमोड़ी,offensive
196,197,भास्कर एक्सक्लूसिव दिनों चल जेडीयूलाइव कॉम तैयारी रैली लाख विजिटर्स,non-hostile
197,198,अर्पित छोटा । वाया पड़ोस वाली कुतिया,defamation
198,199,भाइयों इसको प्रशासन कहे कुशासन कहें दुशासन कहें निरंकुश शासन हिटलर शाही मध्य प्रदेश सरकार v 1,non-hostile
199,200,बिहार जहानाबाद लाल गंवाई देश सीमा जान ऑक्सीजन कमी वजह मौतजहानाबाद रंजीत राजन रिपोर्ट1,non-hostile
201,202,बिहार धर्म खतरे जल्दी चलो अंधभक्त,hate
202,203,बिल्कुल गलत दिशा भटक कीजिए आपकी पार्टी भटका भटक बिहार पिछले साल घोटाले पार्टी बड़े लीडर प्रचार हर रोज प्रेस कॉन्फ्रेंस हर घोटाले जिक्र कीजिए बिहार सवाल कीजिए हर दिन उसको जवाब देने मजबूर कीजिए,defamation
